Pokemon Name,Primary Type,Secondary Type,Secondary Ability,Base Happiness,Game(s) of Origin,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total
"""Bulbasaur""","""Grass""","""Poison""",,50,"""Red""",45,49,49,65,65,45,318
"""Ivysaur""","""Grass""","""Poison""",,50,"""Red""",60,62,63,80,80,60,405
"""Venusaur""","""Grass""","""Poison""",,50,"""Red""",80,82,83,100,100,80,525
"""Venusaur""","""Grass""","""Poison""",,70,"""X""",80,100,123,122,120,80,625
"""Venusaur""","""Grass""","""Poison""",,50,"""Sword""",80,82,83,100,100,80,525
"""Charmander""","""Fire""",,,50,"""Red""",39,52,43,60,50,65,309
"""Charmeleon""","""Fire""",,,50,"""Red""",58,64,58,80,65,80,405
"""Charizard""","""Fire""","""Flying""",,50,"""Red""",78,84,78,109,85,100,534
"""Charizard""","""Fire""","""Dragon""",,70,"""X""",78,130,111,130,85,100,634
"""Charizard""","""Fire""","""Flying""",,70,"""X""",78,104,78,159,115,100,634
"""Charizard""","""Fire""","""Flying""",,50,"""Sword""",78,84,78,109,85,100,534
"""Squirtle""","""Water""",,,50,"""Red""",44,48,65,50,64,43,314
"""Wartortle""","""Water""",,,50,"""Red""",59,63,80,65,80,58,405
"""Blastoise""","""Water""",,,50,"""Red""",79,83,100,85,105,78,530
"""Blastoise""","""Water""",,,70,"""X""",79,103,120,135,115,78,630
"""Blastoise""","""Water""",,,50,"""Sword""",79,83,100,85,105,78,530
"""Caterpie""","""Bug""",,,50,"""Red""",45,30,35,20,20,45,195
"""Metapod""","""Bug""",,,50,"""Red""",50,20,55,25,25,30,205
"""Butterfree""","""Bug""","""Flying""",,50,"""Red""",60,45,50,90,80,70,395
"""Butterfree""","""Bug""","""Flying""",,50,"""Sword""",60,45,50,90,80,70,395
"""Weedle""","""Bug""","""Poison""",,50,"""Red""",40,35,30,20,20,50,195
"""Kakuna""","""Bug""","""Poison""",,50,"""Red""",45,25,50,25,25,35,205
"""Beedrill""","""Bug""","""Poison""",,50,"""Red""",65,90,40,45,80,75,395
"""Beedrill""","""Bug""","""Poison""",,70,"""Omega Ruby""",65,150,40,15,80,145,495
"""Pidgey""","""Normal""","""Flying""","""Tangled Feet""",50,"""Red""",40,45,40,35,35,56,251
"""Pidgeotto""","""Normal""","""Flying""","""Tangled Feet""",50,"""Red""",63,60,55,50,50,71,349
"""Pidgeot""","""Normal""","""Flying""","""Tangled Feet""",50,"""Red""",83,80,75,70,70,101,479
"""Pidgeot""","""Normal""","""Flying""",,70,"""Omega Ruby""",83,80,80,135,80,121,579
"""Rattata""","""Normal""",,"""Guts""",50,"""Red""",30,56,35,25,35,72,253
"""Rattata""","""Dark""","""Normal""","""Hustle""",70,"""Sun""",30,56,35,25,35,72,253
"""Raticate""","""Normal""",,"""Guts""",50,"""Red""",55,81,60,50,70,97,413
"""Raticate""","""Dark""","""Normal""","""Hustle""",70,"""Sun""",75,71,70,40,80,77,413
"""Spearow""","""Normal""","""Flying""",,50,"""Red""",40,60,30,31,31,70,262
"""Fearow""","""Normal""","""Flying""",,50,"""Red""",65,90,65,61,61,100,442
"""Ekans""","""Poison""",,"""Shed Skin""",50,"""Red""",35,60,44,40,54,55,288
"""Arbok""","""Poison""",,"""Shed Skin""",50,"""Red""",60,95,69,65,79,80,448
"""Pikachu""","""Electric""",,,50,"""Red""",35,55,40,50,50,90,320
"""Pikachu""","""Electric""",,,50,"""Sword""",35,55,40,50,50,90,320
"""Pikachu""","""Electric""",,,70,"""Let's Go Pikachu""",45,80,50,75,60,120,430
"""Raichu""","""Electric""",,,50,"""Red""",60,90,55,90,80,110,485
"""Raichu""","""Electric""",,,50,"""Red""",60,90,55,90,80,110,485
"""Raichu""","""Electric""",,,50,"""Red""",60,90,55,90,80,110,485
"""Raichu""","""Electric""","""Psychic""",,50,"""Sun""",60,85,50,95,85,110,485
"""Raichu""","""Electric""","""Psychic""",,50,"""Sun""",60,85,50,95,85,110,485
"""Sandshrew""","""Ground""",,,50,"""Red""",50,75,85,20,30,40,300
"""Sandshrew""","""Ice""","""Steel""",,50,"""Sun""",50,75,90,10,35,40,300
"""Sandslash""","""Ground""",,,50,"""Red""",75,100,110,45,55,65,450
"""Sandslash""","""Ice""","""Steel""",,50,"""Sun""",75,100,120,25,65,65,450
"""Nidoran (Female)""","""Poison""",,"""Rivalry""",50,"""Red""",55,47,52,40,40,41,275
"""Nidorina""","""Poison""",,"""Rivalry""",50,"""Red""",70,62,67,55,55,56,365
"""Nidoqueen""","""Poison""","""Ground""","""Rivalry""",50,"""Red""",90,92,87,75,85,76,505
"""Nidoran (Male)""","""Poison""",,"""Rivalry""",50,"""Red""",46,57,40,40,40,50,273
"""Nidorino""","""Poison""",,"""Rivalry""",50,"""Red""",61,72,57,55,55,65,365
"""Nidoking""","""Poison""","""Ground""","""Rivalry""",50,"""Red""",81,102,77,85,75,85,505
"""Clefairy""","""Fairy""",,"""Magic Guard""",140,"""Red""",70,45,48,60,65,35,323
"""Clefable""","""Fairy""",,"""Magic Guard""",140,"""Red""",95,70,73,95,90,60,483
"""Vulpix""","""Fire""",,,50,"""Red""",38,41,40,50,65,65,299
"""Vulpix""","""Ice""",,,50,"""Sun""",38,41,40,50,65,65,299
"""Ninetales""","""Fire""",,,50,"""Red""",73,76,75,81,100,100,505
"""Ninetales""","""Ice""","""Fairy""",,50,"""Sun""",73,67,75,81,100,109,505
"""Jigglypuff""","""Normal""","""Fairy""","""Competitive""",50,"""Red""",115,45,20,45,25,20,270
"""Wigglytuff""","""Normal""","""Fairy""","""Competitive""",50,"""Red""",140,70,45,85,50,45,435
