Pokemon Name,Primary Type,Secondary Type,Game(s) of Origin,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Gen
"""Bulbasaur""","""Grass""","""Poison""","""Red""",45,49,49,65,65,45,318,Gen1
"""Ivysaur""","""Grass""","""Poison""","""Red""",60,62,63,80,80,60,405,Gen1
"""Venusaur""","""Grass""","""Poison""","""Red""",80,82,83,100,100,80,525,Gen1
"""Venusaur""","""Grass""","""Poison""","""X""",80,100,123,122,120,80,625,Gen6
"""Venusaur""","""Grass""","""Poison""","""Sword""",80,82,83,100,100,80,525,Gen8
"""Charmander""","""Fire""",,"""Red""",39,52,43,60,50,65,309,Gen1
"""Charmeleon""","""Fire""",,"""Red""",58,64,58,80,65,80,405,Gen1
"""Charizard""","""Fire""","""Flying""","""Red""",78,84,78,109,85,100,534,Gen1
"""Charizard""","""Fire""","""Dragon""","""X""",78,130,111,130,85,100,634,Gen6
"""Charizard""","""Fire""","""Flying""","""X""",78,104,78,159,115,100,634,Gen6
"""Charizard""","""Fire""","""Flying""","""Sword""",78,84,78,109,85,100,534,Gen8
"""Squirtle""","""Water""",,"""Red""",44,48,65,50,64,43,314,Gen1
"""Wartortle""","""Water""",,"""Red""",59,63,80,65,80,58,405,Gen1
"""Blastoise""","""Water""",,"""Red""",79,83,100,85,105,78,530,Gen1
"""Blastoise""","""Water""",,"""X""",79,103,120,135,115,78,630,Gen6
"""Blastoise""","""Water""",,"""Sword""",79,83,100,85,105,78,530,Gen8
"""Caterpie""","""Bug""",,"""Red""",45,30,35,20,20,45,195,Gen1
"""Metapod""","""Bug""",,"""Red""",50,20,55,25,25,30,205,Gen1
"""Butterfree""","""Bug""","""Flying""","""Red""",60,45,50,90,80,70,395,Gen1
"""Butterfree""","""Bug""","""Flying""","""Sword""",60,45,50,90,80,70,395,Gen8
"""Weedle""","""Bug""","""Poison""","""Red""",40,35,30,20,20,50,195,Gen1
"""Kakuna""","""Bug""","""Poison""","""Red""",45,25,50,25,25,35,205,Gen1
"""Beedrill""","""Bug""","""Poison""","""Red""",65,90,40,45,80,75,395,Gen1
"""Beedrill""","""Bug""","""Poison""","""Omega Ruby""",65,150,40,15,80,145,495,Gen6
"""Pidgey""","""Normal""","""Flying""","""Red""",40,45,40,35,35,56,251,Gen1
